DATE,BSRN,ND,KP1,KP2,KP3,KP4,KP5,KP6,KP7,KP8,KP_SUM,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP_AVG,CP,C9,ISN,F10.7_OBS,F10.7_ADJ,F10.7_DATA_TYPE,F10.7_OBS_CENTER81,F10.7_OBS_LAST81,F10.7_ADJ_CENTER81,F10.7_ADJ_LAST81
1998-07-01,2251,25,7,3,3,10,7,20,23,27,100,3,2,2,4,3,7,9,12,5,0.2,1,137,126.8,131.1,OBS,111.5,105.9,114.9,108.4
1998-07-02,2251,26,33,17,23,13,17,10,13,20,147,18,6,9,5,6,4,5,7,8,0.4,2,138,120.4,124.4,OBS,112.2,105.9,115.7,108.4
1998-07-03,2251,27,33,20,10,10,20,10,23,27,153,18,7,4,4,7,4,9,12,8,0.4,2,138,127.6,131.9,OBS,112.9,106.1,116.4,108.6
1998-07-04,2252,1,23,27,23,13,17,20,33,27,183,9,12,9,5,6,7,18,12,10,0.5,2,145,129.1,133.5,OBS,113.4,106.3,117.0,108.9
1998-07-05,2252,2,40,30,20,30,27,30,40,23,240,27,15,7,15,12,15,27,9,16,0.9,4,137,123.5,127.6,OBS,114.0,106.4,117.5,109.1
1998-07-06,2252,3,30,40,37,30,50,27,17,13,243,15,27,22,15,48,12,6,5,19,1.0,5,107,121.1,125.2,OBS,114.5,106.6,118.0,109.3
1998-07-07,2252,4,20,17,13,17,20,7,3,0,97,7,6,5,6,7,3,2,0,4,0.2,1,74,114.6,118.5,OBS,115.1,106.8,118.6,109.5
1998-07-08,2252,5,3,17,7,3,3,7,10,7,57,2,6,3,2,2,3,4,3,3,0.1,0,55,112.4,116.2,OBS,115.5,107.0,119.1,109.7
1998-07-09,2252,6,3,3,13,10,27,43,43,43,187,2,2,5,4,12,32,32,32,15,0.9,4,46,114.3,118.2,OBS,116.0,107.2,119.6,110.0
1998-07-10,2252,7,27,10,3,7,3,10,10,20,90,12,4,2,3,2,4,4,7,5,0.2,1,71,109.2,112.9,OBS,116.5,107.3,120.0,110.1
1998-07-11,2252,8,23,20,17,10,23,33,40,23,190,9,7,6,4,9,18,27,9,11,0.6,3,83,107.7,111.3,OBS,117.0,107.5,120.6,110.4
1998-07-12,2252,9,13,13,30,17,10,7,7,17,113,5,5,15,6,4,3,3,6,6,0.3,1,80,99.3,102.6,OBS,117.4,107.7,121.0,110.5
1998-07-13,2252,10,7,7,3,3,7,10,23,23,83,3,3,2,2,3,4,9,9,4,0.2,1,64,106.1,109.7,OBS,117.8,107.9,121.3,110.8
1998-07-14,2252,11,3,0,3,3,10,3,7,0,30,2,0,2,2,4,2,3,0,2,0.0,0,60,102.9,106.3,OBS,117.9,108.0,121.5,111.0
1998-07-15,2252,12,3,3,3,0,3,7,3,27,50,2,2,2,0,2,3,2,12,3,0.1,0,80,104.8,108.2,OBS,118.0,108.2,121.6,111.1
1998-07-16,2252,13,33,60,43,47,43,50,40,37,353,18,80,32,39,32,48,27,22,37,1.4,6,97,106.2,109.7,OBS,118.1,108.4,121.7,111.4
1998-07-17,2252,14,27,17,27,17,23,17,10,3,140,12,6,12,6,9,6,4,2,7,0.4,2,86,100.3,103.6,OBS,118.3,108.5,121.8,111.5
1998-07-18,2252,15,13,7,3,13,17,17,13,27,110,5,3,2,5,6,6,5,12,6,0.2,1,61,99.2,102.4,OBS,118.5,108.5,122.1,111.5
1998-07-19,2252,16,10,13,20,13,10,7,3,13,90,4,5,7,5,4,3,2,5,4,0.2,1,51,101.9,105.2,OBS,118.8,108.5,122.4,111.6
1998-07-20,2252,17,20,10,7,0,3,3,7,13,63,7,4,3,0,2,2,3,5,3,0.1,0,100,111.8,115.4,OBS,119.2,108.6,122.8,111.7
1998-07-21,2252,18,10,37,33,27,23,13,17,10,170,4,22,18,12,9,5,6,4,10,0.6,3,113,110.3,113.9,OBS,119.9,108.6,123.4,111.7
1998-07-22,2252,19,13,10,7,13,30,33,20,40,167,5,4,3,5,15,18,7,27,10,0.6,3,132,114.1,117.8,OBS,120.7,108.6,124.2,111.7
1998-07-23,2252,20,33,53,50,47,50,50,40,43,367,18,56,48,39,48,48,27,32,40,1.4,6,131,115.4,119.1,OBS,121.5,108.5,125.0,111.7
1998-07-24,2252,21,40,37,33,50,37,47,40,33,317,27,22,18,48,22,39,27,18,28,1.2,6,115,125.2,129.2,OBS,122.1,108.6,125.7,111.8
1998-07-25,2252,22,23,33,33,23,13,30,17,17,190,9,18,18,9,5,15,6,6,11,0.6,3,99,121.7,125.5,OBS,122.9,108.4,126.4,111.6
1998-07-26,2252,23,20,20,10,10,13,10,3,7,93,7,7,4,4,5,4,2,3,4,0.2,1,91,119.1,122.8,OBS,123.6,108.3,127.1,111.5
1998-07-27,2252,24,3,10,3,17,10,7,7,10,67,2,4,2,6,4,3,3,4,4,0.1,0,94,119.5,123.2,OBS,124.2,108.2,127.7,111.5
1998-07-28,2252,25,3,7,3,7,20,13,20,27,100,2,3,2,3,7,5,7,12,5,0.2,1,123,121.3,125.1,OBS,125.0,108.3,128.5,111.5
1998-07-29,2252,26,20,27,20,13,17,17,10,13,137,7,12,7,5,6,6,4,5,6,0.3,1,107,119.5,123.1,OBS,125.6,108.4,129.1,111.7
1998-07-30,2252,27,17,13,3,10,13,20,27,50,153,6,5,2,4,5,7,12,48,11,0.6,3,83,114.8,118.3,OBS,126.3,108.5,129.8,111.8
1998-07-31,2253,1,37,30,47,37,43,47,50,33,323,22,15,39,22,32,39,48,18,29,1.3,6,99,113.7,117.2,OBS,126.8,108.6,130.3,111.9
1998-08-01,2253,2,17,13,23,20,43,43,57,23,240,6,5,9,7,32,32,67,9,21,1.1,5,84,112.1,115.4,OBS,127.3,108.6,130.8,111.9
1998-08-02,2253,3,20,13,13,17,7,7,23,20,120,7,5,5,6,3,3,9,7,6,0.3,1,100,109.6,112.9,OBS,127.8,108.5,131.2,111.8
1998-08-03,2253,4,10,10,13,23,13,7,13,17,107,4,4,5,9,5,3,5,6,5,0.2,1,89,108.5,111.7,OBS,128.3,108.4,131.7,111.7
1998-08-04,2253,5,20,27,13,10,7,23,27,20,147,7,12,5,4,3,9,12,7,7,0.4,2,87,115.8,119.2,OBS,128.6,108.4,132.0,111.7
1998-08-05,2253,6,10,17,13,23,23,20,17,10,133,4,6,5,9,9,7,6,4,6,0.3,1,92,126.8,130.5,OBS,128.8,108.5,132.1,111.8
1998-08-06,2253,7,20,40,60,73,67,27,40,63,390,7,27,80,154,111,12,27,94,64,1.7,7,129,138.3,142.2,OBS,128.9,108.8,132.2,112.2
1998-08-07,2253,8,43,60,33,30,37,17,27,23,270,32,80,18,15,22,6,12,9,24,1.2,6,137,145.0,149.1,OBS,128.9,109.4,132.2,112.7
1998-08-08,2253,9,23,27,20,17,20,17,13,3,140,9,12,7,6,7,6,5,2,7,0.3,1,127,146.8,150.9,OBS,128.9,109.9,132.1,113.4
1998-08-09,2253,10,0,3,3,3,10,13,7,3,43,0,2,2,2,4,5,3,2,2,0.0,0,164,154.1,158.3,OBS,128.9,110.7,132.1,114.1
1998-08-10,2253,11,33,30,33,13,33,17,37,33,230,18,15,18,5,18,6,22,18,15,0.8,4,156,149.2,153.3,OBS,129.0,111.5,132.2,114.9
1998-08-11,2253,12,23,7,10,13,13,13,13,30,123,9,3,4,5,5,5,5,15,6,0.3,1,155,150.1,154.1,OBS,129.0,112.2,132.2,115.7
1998-08-12,2253,13,27,27,17,7,7,10,10,30,133,12,12,6,3,3,4,4,15,7,0.4,2,159,147.0,150.9,OBS,129.3,112.9,132.4,116.4
1998-08-13,2253,14,27,20,20,17,10,10,3,0,107,12,7,7,6,4,4,2,0,5,0.2,1,121,136.8,140.4,OBS,129.4,113.4,132.5,117.0
1998-08-14,2253,15,3,3,17,20,23,27,23,3,120,2,2,6,7,9,12,9,2,6,0.3,1,123,137.0,140.6,OBS,129.6,114.0,132.6,117.5
1998-08-15,2253,16,0,7,0,13,17,17,23,13,90,0,3,0,5,6,6,9,5,4,0.1,0,96,133.4,136.8,OBS,129.8,114.5,132.7,118.0
1998-08-16,2253,17,7,10,3,3,7,13,3,0,47,3,4,2,2,3,5,2,0,3,0.0,0,123,139.7,143.3,OBS,130.0,115.1,132.9,118.6
1998-08-17,2253,18,3,13,7,3,3,7,3,7,47,2,5,3,2,2,3,2,3,3,0.0,0,114,136.3,139.7,OBS,130.2,115.5,133.1,119.1
1998-08-18,2253,19,3,10,20,7,7,10,13,20,90,2,4,7,3,3,4,5,7,4,0.2,1,109,132.6,135.8,OBS,130.4,116.0,133.3,119.6
1998-08-19,2253,20,17,7,13,7,13,20,30,40,147,6,3,5,3,5,7,15,27,9,0.5,2,133,134.6,137.9,OBS,130.5,116.5,133.3,120.0
1998-08-20,2253,21,37,23,23,33,30,37,40,30,253,22,9,9,18,15,22,27,15,17,0.9,4,120,138.6,141.9,OBS,130.6,117.0,133.4,120.6
1998-08-21,2253,22,30,10,7,3,3,0,0,23,77,15,4,3,2,2,0,0,9,4,0.2,1,117,132.1,135.2,OBS,130.8,117.4,133.5,121.0
1998-08-22,2253,23,13,13,30,40,33,37,43,30,240,5,5,15,27,18,22,32,15,17,0.9,4,106,132.9,135.9,OBS,131.0,117.8,133.7,121.3
1998-08-23,2253,24,37,30,40,40,37,30,27,13,253,22,15,27,27,22,15,12,5,18,1.0,5,110,126.4,129.3,OBS,131.1,117.9,133.7,121.5
1998-08-24,2253,25,7,20,23,17,20,23,20,30,160,3,7,9,6,7,9,7,15,8,0.4,2,104,121.2,123.9,OBS,131.2,118.0,133.8,121.6
1998-08-25,2253,26,37,33,10,13,13,13,27,23,170,22,18,4,5,5,5,12,9,10,0.6,3,96,122.1,124.8,OBS,131.3,118.1,133.9,121.7
1998-08-26,2253,27,20,23,47,57,47,57,57,63,370,7,9,39,67,39,67,67,94,49,1.6,7,114,126.9,129.6,OBS,131.5,118.3,134.0,121.8
1998-08-27,2254,1,80,80,77,67,67,67,70,63,570,207,207,179,111,111,111,132,94,144,2.0,9,131,135.0,137.8,OBS,131.7,118.5,134.2,122.1
1998-08-28,2254,2,43,50,43,33,37,47,40,33,327,32,48,32,18,22,39,27,18,30,1.3,6,126,139.2,142.0,OBS,132.0,118.8,134.4,122.4
1998-08-29,2254,3,37,30,27,17,37,37,53,20,257,22,15,12,6,22,22,56,7,20,1.0,5,134,146.5,149.4,OBS,132.2,119.2,134.7,122.8
1998-08-30,2254,4,30,37,23,30,27,33,37,23,240,15,22,9,15,12,18,22,9,15,0.9,4,154,163.3,166.4,OBS,132.4,119.9,134.7,123.4
1998-08-31,2254,5,27,23,37,30,37,40,30,27,250,12,9,22,15,22,27,15,12,17,0.9,4,143,178.5,181.8,OBS,132.5,120.7,134.8,124.2
1998-09-01,2254,6,30,40,20,27,33,40,40,30,260,15,27,7,12,18,27,27,15,18,1.0,5,142,177.0,180.2,OBS,132.6,121.5,134.8,125.0
1998-09-02,2254,7,20,7,7,27,27,27,23,27,163,7,3,3,12,12,12,9,12,9,0.5,2,121,163.4,166.3,OBS,132.6,122.1,134.8,125.7
1998-09-03,2254,8,33,20,7,7,17,30,7,17,137,18,7,3,3,6,15,3,6,8,0.4,2,112,162.7,165.5,OBS,132.5,122.9,134.6,126.4
1998-09-04,2254,9,17,17,17,10,7,7,13,17,103,6,6,6,4,3,3,5,6,5,0.2,1,97,154.7,157.3,OBS,132.4,123.6,134.5,127.1
1998-09-05,2254,10,7,0,7,17,3,17,17,27,93,3,0,3,6,2,6,6,12,5,0.2,1,114,154.3,156.8,OBS,132.6,124.2,134.6,127.7
1998-09-06,2254,11,23,23,7,13,17,7,3,13,107,9,9,3,5,6,3,2,5,5,0.2,1,159,164.6,167.1,OBS,132.7,125.0,134.7,128.5
1998-09-07,2254,12,10,7,7,10,10,17,30,17,107,4,3,3,4,4,6,15,6,6,0.3,1,165,151.2,153.5,OBS,132.9,125.6,134.8,129.1
1998-09-08,2254,13,37,37,10,10,7,20,20,13,153,22,22,4,4,3,7,7,5,9,0.5,2,178,153.5,155.8,OBS,133.0,126.3,134.9,129.8
1998-09-09,2254,14,33,27,7,20,13,13,20,10,143,18,12,3,7,5,5,7,4,8,0.4,2,169,145.3,147.4,OBS,133.0,126.8,134.8,130.3
1998-09-10,2254,15,27,27,10,7,7,7,13,10,107,12,12,4,3,3,3,5,4,6,0.3,1,159,141.7,143.6,OBS,133.1,127.3,134.9,130.8
1998-09-11,2254,16,10,0,13,3,13,17,20,30,107,4,0,5,2,5,6,7,15,6,0.2,1,136,138.6,140.4,OBS,133.2,127.8,134.9,131.2
1998-09-12,2254,17,23,20,27,27,30,33,27,23,210,9,7,12,12,15,18,12,9,12,0.7,3,131,134.9,136.6,OBS,133.3,128.3,134.9,131.7
1998-09-13,2254,18,27,20,13,17,13,13,7,3,113,12,7,5,6,5,5,3,2,6,0.3,1,135,130.7,132.3,OBS,133.3,128.6,134.9,132.0
1998-09-14,2254,19,10,3,10,7,3,3,10,20,67,4,2,4,3,2,2,4,7,4,0.1,0,111,121.8,123.3,OBS,133.2,128.8,134.8,132.1
1998-09-15,2254,20,10,23,20,17,7,10,17,3,107,4,9,7,6,3,4,6,2,5,0.2,1,85,117.3,118.6,OBS,133.0,128.9,134.5,132.2
1998-09-16,2254,21,7,0,13,10,17,7,10,17,80,3,0,5,4,6,3,4,6,4,0.1,0,80,118.7,119.9,OBS,132.6,128.9,134.0,132.2
1998-09-17,2254,22,27,30,7,3,3,7,13,23,113,12,15,3,2,2,3,5,9,6,0.3,1,105,117.4,118.6,OBS,132.1,128.9,133.4,132.1
1998-09-18,2254,23,23,20,13,37,53,43,50,37,277,9,7,5,22,56,32,48,22,25,1.2,6,99,122.5,123.7,OBS,131.6,128.9,132.9,132.1
1998-09-19,2254,24,27,17,13,20,23,10,23,23,157,12,6,5,7,9,4,9,9,8,0.4,2,132,126.9,128.0,OBS,131.0,129.0,132.2,132.2
1998-09-20,2254,25,27,7,10,10,10,7,3,13,87,12,3,4,4,4,3,2,5,5,0.2,1,162,132.1,133.3,OBS,130.6,129.0,131.7,132.2
1998-09-21,2254,26,30,37,37,27,30,10,3,0,173,15,22,22,12,15,4,2,0,12,0.7,3,178,138.3,139.4,OBS,130.2,129.3,131.2,132.4
1998-09-22,2254,27,0,17,27,13,13,10,33,13,127,0,6,12,5,5,4,18,5,7,0.3,1,196,141.1,142.1,OBS,129.9,129.4,130.9,132.5
1998-09-23,2255,1,30,30,27,23,23,13,27,27,200,15,15,12,9,9,5,12,12,11,0.6,3,192,143.2,144.1,OBS,129.7,129.6,130.7,132.6
1998-09-24,2255,2,33,47,40,37,13,27,33,60,290,18,39,27,22,5,12,18,80,28,1.2,6,166,135.4,136.2,OBS,129.9,129.8,130.8,132.7
1998-09-25,2255,3,77,80,83,70,63,57,27,23,480,179,207,236,132,94,67,12,9,117,1.9,8,149,138.5,139.2,OBS,130.0,130.0,130.8,132.9
1998-09-26,2255,4,20,17,13,27,40,43,43,33,237,7,6,5,12,27,32,32,18,17,0.9,4,116,135.6,136.2,OBS,130.2,130.2,130.9,133.1
1998-09-27,2255,5,33,23,20,30,30,20,17,13,187,18,9,7,15,15,7,6,5,10,0.6,3,108,127.4,128.0,OBS,130.2,130.4,130.9,133.3
1998-09-28,2255,6,10,13,17,10,3,7,20,13,93,4,5,6,4,2,3,7,5,4,0.2,1,121,122.5,123.0,OBS,130.4,130.5,131.0,133.3
1998-09-29,2255,7,7,23,20,17,13,13,30,17,140,3,9,7,6,5,5,15,6,7,0.4,2,85,115.9,116.3,OBS,130.6,130.6,131.1,133.4
1998-09-30,2255,8,17,23,7,13,13,17,27,40,157,6,9,3,5,5,6,12,27,9,0.5,2,58,121.5,121.8,OBS,130.9,130.8,131.3,133.5
1998-10-01,2255,9,53,37,33,30,30,43,33,30,290,56,22,18,15,15,32,18,15,24,1.2,6,42,118.8,119.1,OBS,131.2,131.0,131.5,133.7
1998-10-02,2255,10,43,33,47,23,40,47,53,47,333,32,18,39,9,27,39,56,39,32,1.3,6,45,112.7,112.9,OBS,131.4,131.1,131.6,133.7
1998-10-03,2255,11,43,40,33,17,30,10,10,7,190,32,27,18,6,15,4,4,3,14,0.8,4,35,111.9,112.0,OBS,131.6,131.2,131.8,133.8
1998-10-04,2255,12,13,7,10,3,13,0,0,17,63,5,3,4,2,5,0,0,6,3,0.1,0,27,114.8,114.9,OBS,131.7,131.3,131.9,133.9
1998-10-05,2255,13,17,3,0,3,3,3,13,10,53,6,2,0,2,2,2,5,4,3,0.1,0,42,117.1,117.1,OBS,131.8,131.5,131.9,134.0
1998-10-06,2255,14,3,0,0,0,0,23,13,13,53,2,0,0,0,0,9,5,5,3,0.0,0,76,117.0,116.9,OBS,131.8,131.7,131.8,134.2
