study,variant,series_type,sequence,density_trend_pct_per_decade,altitude_km,uncertainty_minus_pct_per_decade,uncertainty_plus_pct_per_decade,marker,line_style,color_hex,extraction_basis,source_reference,source_url,notes,include_in_plot
Akmaev 2006,model profile,profile,0,-0.300724,40.326,,,True,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,1,-0.31481,42.108,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,2,-0.372013,43.901,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,3,-0.429044,45.684,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,4,-0.500505,47.173,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,5,-0.600653,48.956,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,6,-0.729317,50.729,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,7,-0.87241,52.816,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,8,-1.029761,54.589,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,9,-1.473299,59.341,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,10,-1.816517,62.897,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,11,-2.174336,66.16,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,12,-2.48921,68.825,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,13,-2.74671,70.598,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,14,-3.018639,72.068,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,15,-3.319083,74.439,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,16,-3.591012,76.213,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,17,-3.848683,77.692,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,18,-4.048979,79.172,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,19,-4.163557,80.357,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,20,-4.320908,82.14,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,21,-4.506775,84.511,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,22,-4.678384,86.588,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,23,-4.778532,88.968,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,24,-4.807048,90.761,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,25,-4.821134,92.838,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,26,-4.84965,94.033,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,27,-4.964055,95.218,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,28,-5.164352,96.992,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,29,-5.35039,98.177,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,30,-5.536601,99.059,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,31,-5.765584,100.539,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,32,-5.951623,101.43,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,33,-6.108974,102.606,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,34,-6.22338,104.095,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,35,-6.30927,104.987,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,36,-6.394989,106.77,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
Akmaev 2006,model profile,profile,37,-6.423505,108.553,,,False,solid,#d62728,Vector extraction from Brown et al. (2024) Figure 2 PDF,"Brown et al. (2024), Figure 2",https://doi.org/10.1029/2024JA032659,Plot-precision value; not a replacement for the original study data.,True
